7,3,11,3,3,9,1,7,4,7,1,13,8,4,16,2,15,3,15,2,1,16,10,4,3,1,10,11,1,10,2
2,13,9,0,1,10,12,2,8,2,5,4,5,11,3,13,16,0,16,1,4,6,9,3,6,10,1,1,11,14,6
1,10,1,6,4,3,5,3,15,0,10,8,10,0,5,3,11,1,7,3,9,5,2,9,0,15,1,4,4,12,0
15,6,16,0,8,8,7,5,6,3,3,7,1,5,6,7,6,10,8,5,11,6,16,0,2,2,7,2,15,4,5
12,0,7,6,6,2,2,8,9,7,8,0,3,3,4,7,2,7,2,3,5,6,11,2,7,7,4,16,1,7,4
14,0,8,3,15,0,10,2,10,0,2,5,13,1,1,5,1,5,5,4,13,1,3,6,1,3,7,6,8,15,1
13,0,15,0,7,8,8,0,1,13,16,1,16,0,8,5,13,0,11,5,2,4,4,4,6,8,6,8,1,9,2
5,7,13,3,11,5,9,7,16,0,7,2,14,0,7,8,10,1,1,9,6,2,13,2,0,4,11,13,0,11,1
8,5,6,4,12,0,11,3,3,3,14,0,6,7,10,1,4,3,4,8,12,1,5,5,2,6,3,7,4,3,5
11,1,3,2,5,7,14,2,2,5,11,0,15,4,9,1,3,7,13,0,3,3,8,3,2,12,2,15,0,1,12
16,0,5,6,10,0,6,4,5,6,9,3,11,0,12,2,12,2,3,1,8,1,1,10,0,11,2,14,0,16,1
10,0,4,7,2,8,15,2,13,0,12,1,4,3,15,0,8,1,9,9,10,3,6,6,3,14,0,5,3,13,2
6,0,14,3,9,0,3,3,7,10,4,3,7,4,11,1,9,1,6,4,7,5,7,2,4,9,1,9,4,5,6
4,4,10,4,13,0,4,7,12,1,6,3,12,3,2,3,5,1,10,3,16,0,12,1,11,13,1,10,4,6,4
3,7,2,8,14,1,16,0,11,1,15,3,2,5,13,0,14,3,14,2,14,0,14,1,5,16,0,3,6,8,0
9,4,12,3,16,0,13,3,14,3,13,4,9,0,14,2,7,9,12,1,15,1,15,1,6,5,4,12,1,2,7